iso1,iso2,group,community
-19.7934,11.18920056,High Activity,A
-19.7732,10.35805265,High Activity,A
-19.8868,5.215504086,High Activity,A
-19.9,8.926646428,High Activity,A
-18.4534,10.83305989,High Activity,A
-19.9378,11.22233921,High Activity,A
-20.3192,9.062705,High Activity,A
-18.6572,12.56392,High Activity,A
-19.8216,10.62604204,High Activity,A
-19.6717,11.02581764,High Activity,A
-19.4513,11.35183713,High Activity,A
-20.0822,11.46463811,High Activity,A
-19.7054,12.75141679,High Activity,A
-19.9131,10.26674018,High Activity,A
-20.7433,12.75159459,High Activity,A
-18.9363,12.4147,High Activity,A
-19.8195,13.95040748,High Activity,A
-19.9648,7.631767335,High Activity,A
-19.6242,7.00067023,High Activity,A
-19.8336,11.43574158,High Activity,A
-20.715,8.951226101,High Activity,A
-19.3839,13.39518529,High Activity,A
-19.7698,12.57627355,High Activity,A
-19.6503,11.51978448,High Activity,A
-19.6886,11.66966779,High Activity,A
-18.9433,13.20601925,High Activity,A
-19.737,12.34653815,High Activity,A
-19.3247,11.46935601,High Activity,A
-18.9327,11.83960013,High Activity,A
-19.3395,12.46119593,High Activity,A
-19.5466,10.91853679,High Activity,A
-19.7585,10.81597803,High Activity,A
-19.6292,8.577059137,High Activity,A
-20.5115,9.497039463,High Activity,A
-20.07035,9.0370493,High Activity,A
-19.8583,12.46013553,High Activity,A
-19.6619,10.0881667,High Activity,A
-19.4741,11.36825,High Activity,A
-19.7846,13.26133796,High Activity,A
-19.8195,10.95009203,High Activity,A
-20.0838,10.64364,High Activity,A
-19.7385,11.32317,High Activity,A
-19.5687,9.743365703,High Activity,A
-19.011,11.77735894,High Activity,A
-20.243,10.56595079,High Activity,A
-19.8532,11.90948,High Activity,A
-19.5242,12.93654,High Activity,A
-20.1192,13.87459403,High Activity,A
-19.8104,10.14706235,High Activity,A
-19.82091693,10.06691178,High Activity,A
-19.7446,10.39143647,High Activity,A
-19.5502,10.74873398,High Activity,A
-19.8472,11.26972383,High Activity,A
-19.9383,10.69733816,High Activity,A
-19.7439,11.55546339,High Activity,A
-19.7166,11.43507409,High Activity,A
-19.6025,12.99185515,High Activity,A
-19.1302,13.67797572,High Activity,A
-20.45049671,11.38487312,High Activity,A
-19.768,11.41846605,High Activity,A
-20.09,11.51138224,High Activity,A
-19.7527,10.13729,High Activity,A
-19.1558,15.07865251,High Activity,A
-19.7648,12.56930932,High Activity,A
-18.8732,8.072339579,Low Activity,A
-19.0046,7.736435912,Low Activity,A
-19.114,8.366940333,Low Activity,A
-17.6198,7.772015565,Low Activity,A
-19.3314,11.42047645,Low Activity,A
-19.4516,9.565208607,Low Activity,A
-19.1409,10.5593443,Low Activity,A
-18.6758,8.269576369,Low Activity,A
-19.6147,9.536795044,Low Activity,A
-19.7909,8.359362222,Low Activity,A
-19.4605,9.404685339,Low Activity,A
-18.6394,9.712874177,Low Activity,A
-17.8816,9.824785935,Low Activity,A
-19.4212,9.474001,Low Activity,A
-19.062,8.626665113,Low Activity,A
-18.8437,9.651002545,Low Activity,A
-18.761,9.687900016,Low Activity,A
-19.1192,9.253844656,Low Activity,A
-19.2673,8.160004274,Low Activity,A
-19.6769,10.87551345,Low Activity,A
-19.9537,11.85497423,Low Activity,A
-19.4162,9.761073884,Low Activity,A
-18.6258,7.409833957,Low Activity,A
-18.0443,6.946214009,Low Activity,A
-18.3817,8.835587804,Low Activity,A
-19.9336,10.1485366,Low Activity,A
-18.3068,9.887174911,Low Activity,A
-19.2058,9.247906178,Low Activity,A
-17.1036,8.663347117,Low Activity,A
-18.688,9.104411594,Low Activity,A
-19.2387,7.087955485,Low Activity,A
-18.2494,5.491749614,Low Activity,A
-19.6702,7.932899746,Low Activity,A
-18.2205,8.958733663,Low Activity,A
-18.0368,8.733097577,Low Activity,A
-18.7909,9.511736196,Low Activity,A
-17.5803,9.965156943,Low Activity,A
-19.6085,9.071655759,Low Activity,A
-19.7779,10.79642542,Low Activity,A
-18.6201,11.68697104,Low Activity,A
-19.4701,8.840609884,Low Activity,A
-18.5341,7.524000266,Low Activity,A
-18.6467,9.300437669,Low Activity,A
-18.3777,7.255132807,Low Activity,A
-18.2662,9.025014937,Low Activity,A
-19.9927,8.71150923,Low Activity,A
-18.4859,9.325495,Low Activity,A
-18.3267,8.849743,Low Activity,A
-18.4243,9.405923,Low Activity,A
-18.5794,8.892442819,Low Activity,A
-18.7587,9.336284,Low Activity,A
-20.114,9.875187,Low Activity,A
-17.6005,10.01038,Low Activity,A
-19.6642,10.41254808,Low Activity,A
-19.2879,10.28538,Low Activity,A
-18.6958,10.33112708,Low Activity,A
-19.2812,12.6036189,Low Activity,A
-19.9661,11.74414559,Low Activity,A
-17.7161,10.63169,Low Activity,A
-19.1911,8.15492516,Low Activity,A
-18.2123,9.232037,Low Activity,A
-18.9214,9.468331854,Low Activity,A
-17.4111,9.29627,Low Activity,A
-19.058,9.258037711,Low Activity,A
-18.6242,10.07304224,Low Activity,A
-19.9061,9.024497931,Low Activity,A
-18.9068,10.02996,Low Activity,A
-19.0983,9.664482,Low Activity,A
-18.1266,9.839801619,Low Activity,A
-18.4607,9.578953,Low Activity,A
-18.5419,7.89278,Low Activity,A
-18.799,8.027806,Low Activity,A
-18.7662,9.405475,Low Activity,A
-18.4441,9.497859,Low Activity,A
-18.8934,9.216075,Low Activity,A
-19.2412,8.607345,Low Activity,A
-19.9526,10.44577378,Low Activity,A
-18.1665,9.153403551,Low Activity,A
-19.3375,9.978597551,Medium Activity,A
-19.2651,10.32113292,Medium Activity,A
-19.8827,10.93207228,Medium Activity,A
-19.1991,10.266029,Medium Activity,A
-19.2079,11.14493496,Medium Activity,A
-19.5011,11.64557627,Medium Activity,A
-19.7514,11.46735002,Medium Activity,A
-19.526,11.26450535,Medium Activity,A
-19.6887,7.245259585,Medium Activity,A
-19.3707,12.2530497,Medium Activity,A
-18.1896,10.28022895,Medium Activity,A
-19.7296,11.37523571,Medium Activity,A
-19.2157,10.43607083,Medium Activity,A
-19.5324,9.638192428,Medium Activity,A
-20.2105,11.11313,Medium Activity,A
-18.8322,11.49859979,Medium Activity,A
-19.5926,11.38971,Medium Activity,A
-19.5646,11.07511,Medium Activity,A
-19.6182,10.90297,Medium Activity,A
-19.7758,10.11603847,Medium Activity,A
-20.4355,10.58872713,Medium Activity,A
-20.7785,10.52648948,Medium Activity,A
-19.5487,11.05974641,Medium Activity,A
-20.0171,10.98415367,Medium Activity,A
-19.7356,11.69951227,Medium Activity,A
-19.68,11.91301756,Medium Activity,A
-20.3264,9.509090016,Medium Activity,A
-20.5108,9.322816766,Medium Activity,A
-19.7231,11.28781,Medium Activity,A
-19.4531,12.47782141,Medium Activity,A
-20.0108,10.8806999,Medium Activity,A
-19.7429,10.98425,Medium Activity,A
-19.3508,11.28423254,Medium Activity,A
-19.626,10.34903083,Medium Activity,A
-19.6282,11.50563304,Medium Activity,A
-20.0515,13.14165255,Medium Activity,A
-19.6205,10.78495504,Medium Activity,A
-20.1192,12.07289062,Medium Activity,A
-19.3471,11.04518594,Medium Activity,A
-19.8899,13.80301537,Medium Activity,A
-19.7123,10.05450435,Medium Activity,A
-19.3408,7.504307904,Medium Activity,A
-19.9966,10.91448733,Medium Activity,A
-19.8565,10.03671,Medium Activity,A
-19.8159,10.92355051,Medium Activity,A
-19.5051,12.21559,Medium Activity,A
-19.6814,10.23068,Medium Activity,A
-19.7452,10.19623144,Medium Activity,A
-18.9635,10.12752,Medium Activity,A
-19.7069,10.92097854,Medium Activity,A
-19.4567,11.92755718,Medium Activity,A
-19.3484,9.591714848,Medium Activity,A
-19.4177,11.43608802,Medium Activity,A
-19.7956,10.43206782,Medium Activity,A
-19.6844,11.71006096,Medium Activity,A
-20.0509,11.25826895,Medium Activity,A
-19.8286,11.24004815,Medium Activity,A
-19.8435,11.68818906,Medium Activity,A
-19.6227,9.92249318,Medium Activity,A
-19.6735,8.024693284,Medium Activity,A
-17.0506,12.45394255,Medium Activity,A
-20.0228,10.49586991,Medium Activity,A
-19.8312,10.68001429,Medium Activity,A
-20.0594,9.716512034,Medium Activity,A
-19.9971,10.35256203,Medium Activity,A
